size,range,mutations,continuation,tsp type,distribution,mutation strategy
20,"[0.2,0.4]",100,,euclidean,lognormal,wouter
20,"[0.4,0.6]",100,,euclidean,lognormal,wouter
20,"[0.6,0.8]",100,,euclidean,lognormal,wouter
20,"[0.8,1.0]",100,,euclidean,lognormal,wouter
20,"[1.0,1.2]",100,,euclidean,lognormal,wouter
20,"[1.2,1.4]",100,,euclidean,lognormal,wouter
20,"[1.4,1.6]",100,,euclidean,lognormal,wouter
20,"[1.6,1.8]",100,,euclidean,lognormal,wouter
20,"[1.8,2.0]",100,,euclidean,lognormal,wouter
20,"[2.0,2.2]",100,,euclidean,lognormal,wouter
20,"[2.2,2.4]",100,,euclidean,lognormal,wouter
20,"[2.4,2.6]",100,,euclidean,lognormal,wouter
20,"[2.6,2.8]",100,,euclidean,lognormal,wouter
20,"[2.8,3.0]",100,,euclidean,lognormal,wouter
20,"[3.0,3.2]",100,,euclidean,lognormal,wouter
20,"[3.2,3.4]",100,,euclidean,lognormal,wouter
20,"[0.2,0.4]",100,,asymmetric,lognormal,wouter
20,"[0.4,0.6]",100,,asymmetric,lognormal,wouter
20,"[0.6,0.8]",100,,asymmetric,lognormal,wouter
20,"[0.8,1.0]",100,,asymmetric,lognormal,wouter
20,"[1.0,1.2]",100,,asymmetric,lognormal,wouter
20,"[1.2,1.4]",100,,asymmetric,lognormal,wouter
20,"[1.4,1.6]",100,,asymmetric,lognormal,wouter
20,"[1.6,1.8]",100,,asymmetric,lognormal,wouter
20,"[1.8,2.0]",100,,asymmetric,lognormal,wouter
20,"[2.0,2.2]",100,,asymmetric,lognormal,wouter
20,"[2.2,2.4]",100,,asymmetric,lognormal,wouter
20,"[2.4,2.6]",100,,asymmetric,lognormal,wouter
20,"[2.6,2.8]",100,,asymmetric,lognormal,wouter
20,"[2.8,3.0]",100,,asymmetric,lognormal,wouter
20,"[3.0,3.2]",100,,asymmetric,lognormal,wouter
20,"[3.2,3.4]",100,,asymmetric,lognormal,wouter
30,"[0.2,0.4]",100,,euclidean,lognormal,wouter
30,"[0.4,0.6]",100,,euclidean,lognormal,wouter
30,"[0.6,0.8]",100,,euclidean,lognormal,wouter
30,"[0.8,1.0]",100,,euclidean,lognormal,wouter
30,"[1.0,1.2]",100,,euclidean,lognormal,wouter
30,"[1.2,1.4]",100,,euclidean,lognormal,wouter
30,"[1.4,1.6]",100,,euclidean,lognormal,wouter
30,"[1.6,1.8]",100,,euclidean,lognormal,wouter
30,"[1.8,2.0]",100,,euclidean,lognormal,wouter
30,"[2.0,2.2]",100,,euclidean,lognormal,wouter
30,"[2.2,2.4]",100,,euclidean,lognormal,wouter
30,"[2.4,2.6]",100,,euclidean,lognormal,wouter
30,"[2.6,2.8]",100,,euclidean,lognormal,wouter
30,"[2.8,3.0]",100,,euclidean,lognormal,wouter
30,"[3.0,3.2]",100,,euclidean,lognormal,wouter
30,"[3.2,3.4]",100,,euclidean,lognormal,wouter
30,"[0.2,0.4]",100,,asymmetric,lognormal,wouter
30,"[0.4,0.6]",100,,asymmetric,lognormal,wouter
30,"[0.6,0.8]",100,,asymmetric,lognormal,wouter
30,"[0.8,1.0]",100,,asymmetric,lognormal,wouter
30,"[1.0,1.2]",100,,asymmetric,lognormal,wouter
30,"[1.2,1.4]",100,,asymmetric,lognormal,wouter
30,"[1.4,1.6]",100,,asymmetric,lognormal,wouter
30,"[1.6,1.8]",100,,asymmetric,lognormal,wouter
30,"[1.8,2.0]",100,,asymmetric,lognormal,wouter
30,"[2.0,2.2]",100,,asymmetric,lognormal,wouter
30,"[2.2,2.4]",100,,asymmetric,lognormal,wouter
30,"[2.4,2.6]",100,,asymmetric,lognormal,wouter
30,"[2.6,2.8]",100,,asymmetric,lognormal,wouter
30,"[2.8,3.0]",100,,asymmetric,lognormal,wouter
30,"[3.0,3.2]",100,,asymmetric,lognormal,wouter
30,"[3.2,3.4]",100,,asymmetric,lognormal,wouter

