Generation,Iterations,Configuration
0,310,uniform_euclidean_wouter_20
1,274,uniform_euclidean_wouter_20
2,166,uniform_euclidean_wouter_20
3,135,uniform_euclidean_wouter_20
4,125,uniform_euclidean_wouter_20
5,306,uniform_euclidean_wouter_20
6,309,uniform_euclidean_wouter_20
7,204,uniform_euclidean_wouter_20
8,270,uniform_euclidean_wouter_20
9,567,uniform_euclidean_wouter_20
10,470,uniform_euclidean_wouter_20
11,597,uniform_euclidean_wouter_20
12,384,uniform_euclidean_wouter_20
13,439,uniform_euclidean_wouter_20
14,505,uniform_euclidean_wouter_20
15,526,uniform_euclidean_wouter_20
16,534,uniform_euclidean_wouter_20
17,451,uniform_euclidean_wouter_20
18,564,uniform_euclidean_wouter_20
19,917,uniform_euclidean_wouter_20
20,997,uniform_euclidean_wouter_20
21,1969,uniform_euclidean_wouter_20
22,952,uniform_euclidean_wouter_20
23,1641,uniform_euclidean_wouter_20
24,1721,uniform_euclidean_wouter_20
